review_id,app_id,app_name,date,rating,version,cats,title,content
6275371349,1504835619,蜜雪冰城,2020-08-03,5,1.0.1,,蜜粉,我是蜜雪冰城冰淇淋忠实粉丝，出了这个app，我非常高兴😊，因为我前几天刚搜过，还没有今天，一看到非常激动
6278860556,1504835619,蜜雪冰城,2020-08-04,5,1.0.1,,好用！,不错，很顺滑。
6287327833,1504835619,蜜雪冰城,2020-08-06,1,1.0.1,优惠与价格|门店与出品,垃圾希望赶紧修复,在微信上都可以点单，但是在APP上显示没有门店，在门店门口也不行，那我这新人优惠不废了吗？
6301670490,1504835619,蜜雪冰城,2020-08-10,5,1.0.1,,加油蜜雪冰城,味道好！价格亲民
6301415085,1504835619,蜜雪冰城,2020-08-10,1,1.0.1,其他,太差,什么垃圾软件
6325151446,1412534170,喜茶GO,2020-08-16,1,1.0.5,其他,Can’t use,I can’t log in or agree on the terms and conditions. There is always a pop up saying there are no agreements.
6332010664,1504835619,蜜雪冰城,2020-08-17,1,1.0.2,闪退卡顿,卡卡卡,太卡，定位不准
6336345120,1412534170,喜茶GO,2020-08-18,1,1.0.5,登录账号,用不了就赶紧下架吧,安装了又不能登录，有啥用？
6335861467,1412534170,喜茶GO,2020-08-18,1,1.0.5,其他,Doesn't work,"Can't use the App as store locations don't show up after I select country, city, district"
6343942536,1412534170,喜茶GO,2020-08-20,5,2.0.0,,好用,下单免排队  喜茶送上门～开熏～
6343929919,1412534170,喜茶GO,2020-08-20,5,2.0.0,,喜茶终于有app了！,感觉比小程序点单还方便呀，不用打开微信再下拉再打开小程序，直接桌面点开就能下单了，开熏～希望之后再加一些好玩的功能呀，期待喜茶，茶仔留
6344216778,1412534170,喜茶GO,2020-08-21,1,2.0.0,支付下单,支付问题,只能使用微信支付，不能用支付宝，银联，京东这几个，不是很方便
6344019337,1412534170,喜茶GO,2020-08-21,1,2.0.0,其他,程序员该裁了,。。
6344839343,1504835619,蜜雪冰城,2020-08-21,5,1.0.3,,很方便,很方便
6350858833,1412534170,喜茶GO,2020-08-22,5,2.0.0,,太好啦,以后出国也可以喝到喜茶了，一个app就搞定，喜茶大大们真牛逼
6348217257,1412534170,喜茶GO,2020-08-22,2,2.0.0,闪退卡顿,点结算就闪退,不让结算 是帮我减肥么.....
6354589966,1412534170,喜茶GO,2020-08-23,1,2.0.0,支付下单|会员与隐私,无法支付,买了会员卡，结果无法支付。搞什么，太差
6354050697,1504835619,蜜雪冰城,2020-08-23,1,1.0.3,门店与出品,无法准确查找门店,我公司楼下就蜜雪，直接定位不到
6358418363,1412534170,喜茶GO,2020-08-25,5,2.0.0,,终于深圳也能用app啦,希望看到app有更多区别于小程序的功能～期待！
6372379886,1504835619,蜜雪冰城,2020-08-28,1,1.0.4,其他,无语，电源连基本规则都不清楚，就让下App最后搞得单也没点成，体验极差。,无语，电源连基本规则都不清楚，就让下App最后搞得单也没点成，体验极差。
6379714769,1504835619,蜜雪冰城,2020-08-30,1,1.0.4,优惠与价格,新人优惠卷用不了,什么鬼！新人优惠卷用不了！！！
6379668885,1504835619,蜜雪冰城,2020-08-30,1,1.0.4,其他,假假,活动有些店完全没有！是骗人消费迈
6379548295,1504835619,蜜雪冰城,2020-08-30,5,1.0.4,,方便快捷,杨枝甘露非常好喝
6379540976,1504835619,蜜雪冰城,2020-08-30,5,1.0.4,,方便,很棒哈
6379421396,1504835619,蜜雪冰城,2020-08-30,5,1.0.4,,赞,期待已久的App非常好用，非常方便
6383058612,1412534170,喜茶GO,2020-08-31,5,2.0.1,,喜茶有App好开心,等了好久的app终于来了，终于不用问朋友喝什么的时候给小程序关掉了，虽然不知道为什么，突然希望有打怪小游戏。
6383057254,1412534170,喜茶GO,2020-08-31,5,2.0.1,,喜茶终于有App啦～,期待已久的App终于来了。 App比小程序好用好多，不需要经常更新页面，而且还会根据平时下单的种类直接推荐顾客喜欢的饮品，非常方便。 希望喜茶百货能上多点产品🥰
6383042162,1412534170,喜茶GO,2020-08-31,5,2.0.1,,运行流畅，体验极佳,app整体给人的感受和小程序完全不一样，在这上面切换界面运行更加流畅，不会出现卡顿，很好用，以后希望可以在app上开发出更多的功能！
6383036484,1412534170,喜茶GO,2020-08-31,5,2.0.1,,喜茶app,用了喜茶app方便了很多再不用去微信小成程序里找了
6383027164,1412534170,喜茶GO,2020-08-31,5,2.0.1,,终于终于终于等来了独立APP啦,虽然以前用小程序也比较方便，但有时候微信不稳定或者来消息的时候都要被迫退出去，然后还要再下拉继续点，有时候还没有办法顺畅的点单，取餐通知混入微信聊天中，经常忘记，没有看到，而且独立APP看起来就要干净整个界面都很舒服，瞬间高大上了起来，爱辽，以后点单更顺畅了，每一个细节都考虑到了，让我们点单更舒服，下载一个APP节省之后很多时间，很棒！
6382759766,1504835619,蜜雪冰城,2020-08-31,1,1.0.4,其他,坑爹,为什么半价和冰激淋只能选一个
6381127710,1504835619,蜜雪冰城,2020-08-31,5,1.0.4,,非常好的APP,那些定位不准的是你手机不行！不要赖人家APP不行，真搞笑！
6380687544,1504835619,蜜雪冰城,2020-08-31,1,1.0.4,支付下单,无法支付？,正准备付款/结果！！获取支付信息失败！！耽误我和奶茶吖！
6379919370,1504835619,蜜雪冰城,2020-08-31,4,1.0.4,,有一些问题,家里和门店就差100多米，结果定位不了，是因为还没有录入位置吗？（因为我这里这间是新开一个多月的）希望能改进
6379742008,1504835619,蜜雪冰城,2020-08-31,5,1.0.4,,没我附近的门店,快快支持所以门店吧，
6386071509,1412534170,喜茶GO,2020-09-01,5,2.0.1,,终于可以在手机页面拥有喜茶app,独立app下单，要问朋友喝啥不用在退出啥的，进入页面简洁明了
6385970922,1412534170,喜茶GO,2020-09-01,5,2.0.1,,最爱的喜茶终于有app啦！！！😍😍,喜茶出app啦👍喝喜茶，更方便 第一感觉就是十分丝滑～顺畅～ 比小程序还方便了许多！茶好了的时候也有弹消息提醒，十分贴心呢，相信之后会越做越好～出更多好玩儿的功能🤩🥳
6385952428,1412534170,喜茶GO,2020-09-01,5,2.0.1,,喜茶,喜茶老粉丝了/一直想喜茶什么时候才能出app今天突然看到不愧是我爱的喜茶/整个app界面还是喜茶风一贯简单大气的风格/过渡动画也做得非常棒/使用起来暂无卡顿闪退的情况/app使用起来比小程序方便太多/而且小程序的订单也是全部同步到app上的/点赞👍
6384581297,1412534170,喜茶GO,2020-09-01,5,2.0.1,,忠实粉丝,一直都用喜茶go app面世就更方便了 期待更多新功能～∠( ᐛ 」∠)＿
6384084158,1412534170,喜茶GO,2020-09-01,5,2.0.1,,优秀优秀,从灵感之茶一直做到自己拥有app，从无到有，每一步都是见证者时间与中国茶文化，
6383670537,1412534170,喜茶GO,2020-09-01,5,2.0.1,,喜茶APP上线,之前微信小程序下单有时候会出现很多问题比如崩了，或是不提醒我取茶啥的现在独立App上线了真的太棒了👏👏👏！ 希望越来越赞！！
6383615704,1412534170,喜茶GO,2020-09-01,5,2.0.1,,挺不错,挺不错 期望未来更好
6383429350,1412534170,喜茶GO,2020-09-01,5,2.0.1,,爱了i了,做梦都梦见自己泡在喜茶里！
6383405979,1412534170,喜茶GO,2020-09-01,5,2.0.1,,App做的挺好的,比小程序打开快，账户积分都迁移过来了，喜茶券都在，哈哈哈，能抽个奖吗？抢东西能更快吗？期待喜茶有更美好的明天！！！
6383245716,1412534170,喜茶GO,2020-09-01,5,2.0.1,,喜茶,用起来很方便 体验感不错 跟小程序一样
6383207268,1412534170,喜茶GO,2020-09-01,5,2.0.1,,喜茶GOGOGO,喜茶终于出app了，这样更大程度上方便了很多顾客点单需求，出app更近一步体现出喜茶国际化科技化
6383166703,1412534170,喜茶GO,2020-09-01,5,2.0.1,,终于等到你,万期待的APP终于有啦，怎么说呢，作为4年的忠粉总觉得单独的你，独一的你才是特别的你，一直敬佩的品牌，希望你更好。 我觉得，app作为今年将9年的生日礼物🎁真的很棒 喜欢有你💗
6383155794,1412534170,喜茶GO,2020-09-01,5,2.0.1,,app的体验更流畅！期待未来更多的功能～,整体和小程序差不多，但是使用起来会更流畅些，不用打开微信才能点单，都用app就可以解决，感觉app应该可以比小程序有更多好玩的东西，但现在还和小程序一样，期待未来的功能～
6383150498,1412534170,喜茶GO,2020-09-01,5,2.0.1,,还不错,比小程序方便耶 不怕崩溃了……
